run,local_list,mutex_lock,cpu_pinned,k,num_threads,time1,time2,time3
0,0,0,0,200,2,561,584,513
0,0,0,0,400,2,447,731,406
0,0,0,0,800,2,937,1089,918
0,0,0,0,200,4,3015,725,618
0,0,0,0,400,4,999,1561,2436
0,0,0,0,800,4,2263,3827,2053
0,0,0,0,200,8,1366,2411,2299
0,0,0,0,400,8,3083,2558,1656
0,0,0,0,800,8,3631,5831,4575
0,0,0,0,200,16,4319,3986,2956
0,0,0,0,400,16,5711,6077,4954
0,0,0,0,800,16,8158,10502,8399
0,0,0,0,200,32,6545,4531,6388
0,0,0,0,400,32,7932,9206,9323
0,0,0,0,800,32,15804,17339,18369
0,0,0,0,200,64,10109,13386,9097
0,0,0,0,400,64,15915,18563,18140
0,0,0,0,800,64,33484,34871,39754
1,1,0,0,200,2,1380,300,315
1,1,0,0,400,2,859,396,370
1,1,0,0,800,2,387,383,351
1,1,0,0,200,4,468,441,1639
1,1,0,0,400,4,1611,1395,1584
1,1,0,0,800,4,596,1736,1794
1,1,0,0,200,8,2045,2076,1058
1,1,0,0,400,8,2027,2193,3196
1,1,0,0,800,8,1341,2374,3231
1,1,0,0,200,16,3475,3587,3508
1,1,0,0,400,16,4320,3975,3835
1,1,0,0,800,16,3722,4416,4293
1,1,0,0,200,32,6167,6845,6081
1,1,0,0,400,32,7951,5292,6031
1,1,0,0,800,32,8861,8898,7778
1,1,0,0,200,64,9065,8720,11034
1,1,0,0,400,64,11739,9341,11128
1,1,0,0,800,64,14947,16978,16868
2,0,1,0,200,2,469,434,487
2,0,1,0,400,2,454,580,410
2,0,1,0,800,2,748,771,805
2,0,1,0,200,4,1559,1650,1583
2,0,1,0,400,4,1599,1665,2606
2,0,1,0,800,4,1596,2378,2420
2,0,1,0,200,8,3298,2331,1858
2,0,1,0,400,8,1750,2227,3169
2,0,1,0,800,8,2511,3419,3632
2,0,1,0,200,16,2808,3951,3833
2,0,1,0,400,16,4321,4812,4752
2,0,1,0,800,16,5240,6020,6530
2,0,1,0,200,32,5979,6576,6341
2,0,1,0,400,32,7238,7662,9017
2,0,1,0,800,32,15808,12239,13495
2,0,1,0,200,64,10657,8919,11011
2,0,1,0,400,64,16192,14588,13921
2,0,1,0,800,64,26010,23096,25420
3,0,0,1,200,2,558,423,301
3,0,0,1,400,2,772,453,476
3,0,0,1,800,2,846,761,951
3,0,0,1,200,4,539,541,2095
3,0,0,1,400,4,707,1074,1085
3,0,0,1,800,4,2504,2323,2331
3,0,0,1,200,8,1920,1070,1951
3,0,0,1,400,8,2068,2320,2654
3,0,0,1,800,8,3733,4218,4737
3,0,0,1,200,16,2495,3472,3688
3,0,0,1,400,16,4418,5657,5011
3,0,0,1,800,16,7979,8682,11033
3,0,0,1,200,32,4664,5811,4905
3,0,0,1,400,32,9722,9298,8911
3,0,0,1,800,32,17492,17968,18354
3,0,0,1,200,64,9570,8244,9413
3,0,0,1,400,64,17988,18613,17448
3,0,0,1,800,64,36828,38935,34707
